song_id,artists,name,release_date,year,popularity
4Y2glvLjQGOb4dXnwm1hQf,Pendulum,Witchcraft,21/05/2010,2010,61
4fo7zZTzAJd66iUxDQ5xUD,Lazerhawk,Overdrive,15/01/2010,2010,53
5PjC8plTyOm10VPjZ2qMyQ,Cher,You Haven't Seen the Last of Me - Burlesque Original Motion Picture Soundtrack,22/11/2010,2010,46
47NGN2PkaBo0ap4XF5LbJ2,Kings of Leon,The Face,19/10/2010,2010,53
707ayNK8mQkl7VcsyEWMh4,Clay Walker,If I Could Make a Living,23/08/2010,2010,48
3kfgJql90tzgoxByioAMXR,Taylor Swift,Innocent,25/10/2010,2010,47
6oMuxrR8Aq74QG872Pd37Z,Marvin Sapp,He Has His Hands On You,16/03/2010,2010,46
5dYtFh2WwVzwMwtuwU7ggc,Tigers Jaw,Never Saw It Coming,11/05/2010,2010,48
3SOUAgD70B82lpBVjgVGn9,Weezer,Memories,14/09/2010,2010,51
7hZuICN5eaCuQyp443RCt6,Taylor Swift,Dear John,25/10/2010,2010,46
5S0pF13mOsTnYweFwFy4D0,k.d. lang,Hallelujah,2010,2010,54
0euhtxv2yxdJIx5kZfGOln,Grupo Laberinto,El Quema Tierras,29/04/2010,2010,50
4Xf7EL8G6FRYwvJADl0nf4,"DEV', 'The Cataracs",Bass Down Low,01/01/2010,2010,48
4K4ndQgEpnLBQGR2aqZc1P,Cultura Profética,Rimas Pa' Seducir,23/08/2010,2010,60
3myI1o0izYfh2z9JTQzCfJ,B.o.B,Don't Let Me Fall,27/04/2010,2010,49
4VxfOVVm5Mnp9JapxZakE3,Seasons After,Cry Little Sister,25/01/2010,2010,46
1U5KLauD740gADxs1pAEyh,Miami Horror,Sometimes,20/08/2010,2010,47
2PLLTB5IgPTEBfOkgFOa65,Cardenales De Nuevo León,Y Le Diré,01/01/2010,2010,55
5M9kio8FEFiNKyTDGqksy2,Sleeping With Sirens,The Bomb Dot Com V2.0,23/03/2010,2010,49
17RkpFRsRKCNSX7WfxX2qi,Baths,Aminals,06/07/2010,2010,50
3PfeAZbfD134dO6OiLDA2Y,Nelly,Just A Dream - Main,01/01/2010,2010,46
4c15DmbPf9g3HNPipLBBu0,The Black Keys,I'm Not the One,18/05/2010,2010,47
53lQywP7h2KlnfPAbwxWD9,My Chemical Romance,S/C/A/R/E/C/R/O/W,05/11/2010,2010,51
0wpbWr0vI9mIV6WpO5CqPi,Mann,Buzzin,01/01/2010,2010,46
6EZMZ5LIMiZZeSFcxU97xT,Edward Newton,I'm in the Mood for Love: I'm in the Mood for Love,23/11/2010,2010,53
3l9eeEd5NABrvYRzXIVqwK,OK Go,This Too Shall Pass,12/01/2010,2010,46
4kPxQjl9d12EtbhYte5e3j,Ivy Queen,Dime,13/07/2010,2010,49
4huNEMIQ6nwtAp3xn7sb3e,Josh Heinrichs,These Days (feat. 77 Jefferson),28/09/2010,2010,47
7Ihl2uNgZmwaOyp9KRHGsA,Clay Walker,Then What?,23/08/2010,2010,47
1so85Or3C7J0sBnBOucVBA,Tight Fit,The Lion Sleeps Tonight,26/02/2010,2010,57
4eYmH4Sh0ibdU9nmnbu7aM,Pigeon John,The Bomb,12/10/2010,2010,51
58KurxTN6RxBh54EXMJ2R1,Bill Burr,Make My Sandwich,05/10/2010,2010,46
2XZt5ACXfEiF9QyxMnwaIr,Tank,I Can't Make You Love Me,13/12/2010,2010,50
73KNzyiG6xM6xguaLe4ICj,"Bunbury', 'Miren Iza",Frente a frente (feat. Miren Iza),2010,2010,65
4bZi0vF5fPvB2g8JiWDARW,Evelyn Evelyn,Evelyn Evelyn,30/03/2010,2010,50
5bDEA48Dxyxoc3K4Dt7yRE,Drake,Karaoke,01/01/2010,2010,46
32BNHfgpllA7lHnALwD3bE,"Nicki Minaj', 'Drake",Moment 4 Life,22/11/2010,2010,50
4qE2iDO78w5uHs03R8V7FQ,Miguel,Girls Like You,26/11/2010,2010,48
6lFKHp2pjDlbYeeqZ0olm8,"Yolanda Be Cool', 'DCup",We No Speak Americano,27/02/2010,2010,46
74mZKvZcZzzvbOnt8NfWda,Brad Paisley,Anything Like Me,02/11/2010,2010,48
2R7C9dDqv1UPycvepBFziA,Taylor Swift,Superman,25/10/2010,2010,46
7hEbLvHSHpmMZXuuw2nmmH,Sara Bareilles,Uncharted,07/09/2010,2010,49
7IxWqdG1zG0gaAFYq2q0Iy,The Decemberists,Down By The Water,2011,2011,48
7r6PigmGzlB3YPB7wvBBbi,"JAY-Z', 'Kanye West', 'Frank Ocean', 'The-Dream",No Church In The Wild,08/08/2011,2011,55
0p3YVGafB1214KOw5AokGv,Bayside,"Sick, Sick, Sick",01/01/2011,2011,48
6NV8bM1StHDcWMoTVWix1J,"AJ Rafael', 'Jesse Barrera",She Was Mine (feat. Jesse Barrera),07/06/2011,2011,57
21JTgoZLDB2F4Fx0uRCmTL,Christina Perri,the lonely,10/05/2011,2011,53
7JSpeGJpsXuRR1Go9pBPXc,Nature Sounds Nature Music,Tropical Storm,16/02/2011,2011,51
66mi3OKkrYHZkV9T62Ytyy,"Andrae Crouch', 'Marvin Winans",Let The Church Say Amen - Radio Edit,06/09/2011,2011,48
4qQ8sToR3GNossXlwSlyKz,Dean Martin,Ain't That A Kick In The Head - Remastered,01/01/2011,2011,53
4x9Wm15FC2xCuSPgVl7X7i,Vaughan Mason and Crew,"Bounce, Rock, Skate, Roll - Remastered",08/02/2011,2011,48
6z5mh42xSM54RncKZMM8hS,The Strokes,Call Me Back,18/03/2011,2011,54
03zRY58mcXQvvwu9Iyy4a4,Get Scared,Sarcasm,2011,2011,58
1ffy4Bi6ROMpZTxIWyPMKG,Childish Gambino,Outside,15/11/2011,2011,50
47ji0KfmvI93CMDqppVj8p,Big Time Rush,Elevate,2011,2011,50
5vjR4LUikpN6LhpxRWK6k2,The Story So Far,Roam,21/06/2011,2011,49
3B0hzwc1e8AYOytj9hZS2I,Blue Stahli,ULTRAnumb,02/03/2011,2011,57
36hZ7e1xqFtskCjKJyzaUy,Grupo Laberinto,Quién Eres Tú,06/01/2011,2011,50
4Eeq5qMOQ8VV5IfPxVX1Zh,Tierra Cali,Amor Te Amo,01/01/2011,2011,49
21FyeXi7sykXk9HRlf3Aul,Trace Adkins,Semper Fi,01/01/2011,2011,47
